date,steps,rest_HR,sleep_HR,active_HR
2019-09-25,18365.0,48.0,48.96596858638743,83.40689325035902
2019-09-26,37493.99999999999,49.0,49.41116751269036,82.16125907990315
2019-09-27,25333.0,48.0,50.05369928400955,76.54754393871113
2019-09-28,4009.0,46.0,48.31065088757396,81.89860320744955
2019-09-29,35367.0,50.0,50.75480769230769,77.88011555127588
2019-09-30,34423.0,48.0,48.76536312849162,79.12234829797731
2019-10-01,39952.0,47.0,47.31818181818182,78.4284456186702
2019-10-02,20044.0,51.0,50.773371104815865,82.13039355144619
2019-10-03,31663.0,48.0,49.79682997118156,80.52029520295203
2019-10-04,26491.000000000004,47.0,48.56264501160093,74.69416785206259
2019-10-05,27628.0,47.0,46.68,78.28064363464269
2019-10-06,14458.0,48.0,49.32446808510638,76.31192256929168
